phase,event_id,start,end,n_months
El Nino,1,2002-07-15,2003-02-15,8
El Nino,2,2004-08-15,2005-01-15,6
El Nino,3,2006-09-15,2007-01-15,5
El Nino,4,2009-08-15,2010-03-15,8
El Nino,5,2014-11-15,2015-01-15,3
El Nino,6,2015-04-15,2016-04-15,13
El Nino,7,2018-10-15,2019-05-15,8
El Nino,8,2019-11-15,2020-01-15,3
La Nina,1,2003-05-15,2003-05-15,1
La Nina,2,2005-11-15,2006-03-15,5
La Nina,3,2007-07-15,2008-06-15,12
La Nina,4,2008-12-15,2009-03-15,4
La Nina,5,2010-06-15,2011-05-15,12
La Nina,6,2011-08-15,2012-04-15,9
La Nina,7,2013-01-15,2013-02-15,2
La Nina,8,2014-02-15,2014-02-15,1
La Nina,9,2016-08-15,2016-12-15,5
La Nina,10,2017-10-15,2018-04-15,7
La Nina,11,2020-08-15,2021-04-15,9
La Nina,12,2021-08-15,2023-01-15,18
