phase,event_id,date,year,month,month_number,season,nino34_anom,nino34_anom_std_1991_2020,oni_3mon
El Nino,1,2002-07-15,2002,2002-07-01,7,JJA,0.740000,0.842411,0.776667
El Nino,1,2002-08-15,2002,2002-08-01,8,JJA,0.870000,0.990402,0.900000
El Nino,1,2002-09-15,2002,2002-09-01,9,SON,1.090000,1.240848,1.070000
El Nino,1,2002-10-15,2002,2002-10-01,10,SON,1.250000,1.422991,1.270000
El Nino,1,2002-11-15,2002,2002-11-01,11,SON,1.470000,1.673437,1.363333
El Nino,1,2002-12-15,2002,2002-12-01,12,DJF,1.370000,1.559598,1.146667
El Nino,1,2003-01-15,2003,2003-01-01,1,DJF,0.600000,0.683036,0.870000
El Nino,1,2003-02-15,2003,2003-02-01,2,DJF,0.640000,0.728571,0.533333
El Nino,2,2004-08-15,2004,2004-08-01,8,JJA,0.760000,0.865178,0.686667
El Nino,2,2004-09-15,2004,2004-09-01,9,SON,0.810000,0.922098,0.766667
El Nino,2,2004-10-15,2004,2004-10-01,10,SON,0.730000,0.831027,0.733333
El Nino,2,2004-11-15,2004,2004-11-01,11,SON,0.660000,0.751339,0.710000
El Nino,2,2004-12-15,2004,2004-12-01,12,DJF,0.740000,0.842411,0.686667
El Nino,2,2005-01-15,2005,2005-01-01,1,DJF,0.660000,0.751339,0.586667
El Nino,3,2006-09-15,2006,2006-09-01,9,SON,0.600000,0.683036,0.536667
El Nino,3,2006-10-15,2006,2006-10-01,10,SON,0.700000,0.796875,0.763333
El Nino,3,2006-11-15,2006,2006-11-01,11,SON,0.990000,1.127009,0.943333
El Nino,3,2006-12-15,2006,2006-12-01,12,DJF,1.140000,1.297768,0.943333
El Nino,3,2007-01-15,2007,2007-01-01,1,DJF,0.700000,0.796875,0.656667
El Nino,4,2009-08-15,2009,2009-08-01,8,JJA,0.560000,0.637500,0.573333
El Nino,4,2009-09-15,2009,2009-09-01,9,SON,0.680000,0.774107,0.710000
El Nino,4,2009-10-15,2009,2009-10-01,10,SON,0.890000,1.013169,1.010000
El Nino,4,2009-11-15,2009,2009-11-01,11,SON,1.460000,1.662053,1.363333
El Nino,4,2009-12-15,2009,2009-12-01,12,DJF,1.740000,1.980803,1.573333
El Nino,4,2010-01-15,2010,2010-01-01,1,DJF,1.520000,1.730357,1.503333
El Nino,4,2010-02-15,2010,2010-02-01,2,DJF,1.250000,1.422991,1.223333
El Nino,4,2010-03-15,2010,2010-03-01,3,MAM,0.900000,1.024553,0.843333
El Nino,5,2014-11-15,2014,2014-11-01,11,SON,0.750000,0.853794,0.633333
El Nino,5,2014-12-15,2014,2014-12-01,12,DJF,0.710000,0.808259,0.656667
El Nino,5,2015-01-15,2015,2015-01-01,1,DJF,0.510000,0.580580,0.546667
El Nino,6,2015-04-15,2015,2015-04-01,4,MAM,0.700000,0.796875,0.696667
El Nino,6,2015-05-15,2015,2015-05-01,5,MAM,0.920000,1.047321,0.933333
El Nino,6,2015-06-15,2015,2015-06-01,6,JJA,1.180000,1.343303,1.186667
El Nino,6,2015-07-15,2015,2015-07-01,7,JJA,1.460000,1.662053,1.523333
El Nino,6,2015-08-15,2015,2015-08-01,8,JJA,1.930000,2.197098,1.866667
El Nino,6,2015-09-15,2015,2015-09-01,9,SON,2.210000,2.515848,2.166667
El Nino,6,2015-10-15,2015,2015-10-01,10,SON,2.360000,2.686607,2.430000
El Nino,6,2015-11-15,2015,2015-11-01,11,SON,2.720000,3.096428,2.580000
El Nino,6,2015-12-15,2015,2015-12-01,12,DJF,2.660000,3.028124,2.650000
El Nino,6,2016-01-15,2016,2016-01-01,1,DJF,2.570000,2.925669,2.496667
El Nino,6,2016-02-15,2016,2016-02-01,2,DJF,2.260000,2.572767,2.150000
El Nino,6,2016-03-15,2016,2016-03-01,3,MAM,1.620000,1.844196,1.596667
El Nino,6,2016-04-15,2016,2016-04-01,4,MAM,0.910000,1.035937,0.943333
El Nino,7,2018-10-15,2018,2018-10-01,10,SON,0.900000,1.024553,0.756667
El Nino,7,2018-11-15,2018,2018-11-01,11,SON,0.900000,1.024553,0.896667
El Nino,7,2018-12-15,2018,2018-12-01,12,DJF,0.890000,1.013169,0.813333
El Nino,7,2019-01-15,2019,2019-01-01,1,DJF,0.650000,0.739955,0.750000
El Nino,7,2019-02-15,2019,2019-02-01,2,DJF,0.710000,0.808259,0.723333
El Nino,7,2019-03-15,2019,2019-03-01,3,MAM,0.810000,0.922098,0.713333
El Nino,7,2019-04-15,2019,2019-04-01,4,MAM,0.620000,0.705803,0.660000
