region,cloud_group,delta_cf
TP,low_cloud,-0.018916621026619396
TP,mid_level,0.006293215597906965
TP,thin_high,0.02080361731350422
TP,thick_anvil,0.010695993434637785
TP,deep_convective,0.005530465001356788
WP,low_cloud,0.03438203423058184
WP,mid_level,-0.01371565735189506
WP,thin_high,-0.048813953530043364
WP,thick_anvil,-0.039567100116983056
WP,deep_convective,-0.013235764708952047
CP,low_cloud,-0.08619875369781882
CP,mid_level,0.021743258509104635
CP,thin_high,0.08673951658420265
CP,thick_anvil,0.07006368157453835
CP,deep_convective,0.02946060440444853
EP,low_cloud,-0.026770484648295678
EP,mid_level,0.010298791299646837
EP,thin_high,0.025910780590493232
EP,thick_anvil,0.01640675577800721
EP,deep_convective,0.008342735032783821
