region,cloud_type,ctp_bin,tau_bin,physical_group,CF0,Q0_SW,Q0_LW,Q0_Net,CRE0_SW_ratio,CRE0_LW_ratio,CRE0_Net_ratio,CRE0_SW_monthlymean,CRE0_LW_monthlymean,CRE0_Net_monthlymean,difference_ratio_minus_monthlymean_Net,valid_n_kernel,display_valid_n_ge_24,sensitivity_valid_n_ge_48,panels_used,display_value_tp_sw,display_value_tp_lw,display_value_tp_net,display_value_regional_net,baseline_hatch
CP,1,1000-800,0.02-1.27,low cloud,0.0520244803782077,-0.4512952624072747,-0.0896257814201344,-0.5409210438274092,-8.674671214905882,-1.7227616838952096,-10.397432898801092,-8.604502912431682,-1.9854436868707157,-10.589946599302396,0.1925137005013049,248,True,True,e,,,,-10.397432898801092,False
CP,2,1000-800,1.27-3.55,low cloud,0.0645357338261725,-1.9860514756196384,0.064947430751231,-1.9211040448684071,-30.774446308599867,1.0063793638136584,-29.76806694478621,-30.737002100755394,0.9360501502078916,-29.800951950547503,0.0328850057612939,248,True,True,e,,,,-29.76806694478621,False
CP,3,1000-800,3.55-9.38,low cloud,0.0168189496908204,-1.1448993034165658,0.0574502919716943,-1.0874490114448716,-68.07198573412929,3.415807349911393,-64.6561783842179,-67.87710931693498,3.3335578006973594,-64.54355151623764,-0.1126268679802535,248,True,True,e,,,,-64.6561783842179,False
CP,4,1000-800,9.38-22.63,low cloud,0.0008290791054465,-0.0926572503241532,0.0049060967225324,-0.0877511536016207,-111.7592395170208,5.917525469285895,-105.84171404773488,-112.1474958170206,5.685876594369184,-106.4616192226514,0.6199051749165108,248,True,True,e,,,,-105.84171404773488,False
CP,5,1000-800,22.63-60.36,low cloud,9.631418898059362e-06,-0.0013893340785816,6.811855437720155e-05,-0.0013212155242044,-144.25019753439952,7.07253573935267,-137.17766179504684,-150.31686739546694,6.524396202407818,-143.79247119305913,6.614809398012284,247,True,True,e,,,,-137.17766179504684,False
CP,6,1000-800,60.36-378.65,low cloud,1.8373025471454895e-08,-2.8427036611872586e-06,1.4376771240513465e-07,-2.6989359487821236e-06,-154.72158712258917,7.824934038680685,-146.89665308390846,-207.76666179952613,5.160107516026623,-202.60655428349952,55.70990119959106,17,False,False,e,,,,,True
CP,7,800-680,0.02-1.27,low cloud,0.0154868927645161,-0.1923214550862011,0.1240862748665326,-0.0682351802196684,-12.418337106772745,8.012341581575448,-4.405995525197294,-12.413959480324662,8.03681194288646,-4.377147537438201,-0.028847987759093,248,True,True,e,,,,-4.405995525197294,False
CP,8,800-680,1.27-3.55,low cloud,0.0377110697177403,-1.3887356661527437,0.5101105297787595,-0.8786251363739841,-36.82567682505819,13.526811453422903,-23.298865371635284,-36.870936383080874,13.572335988921903,-23.29860039415897,-0.0002649774763128,248,True,True,e,,,,-23.298865371635284,False
CP,9,800-680,3.55-9.38,low cloud,0.0241060007079655,-1.8072875084743192,0.3432052232366029,-1.4640822852377164,-74.97251536531815,14.237335649093977,-60.735179716224174,-74.98918289707848,14.191708439126682,-60.7974744579518,0.0622947417276265,248,True,True,e,,,,-60.735179716224174,False
CP,10,800-680,9.38-22.63,low cloud,0.005174037835013,-0.6084496071033607,0.0783410743205879,-0.5301085327827728,-117.59666753612414,15.141186983683868,-102.45548055244028,-117.7154027645197,14.995705420892,-102.71969734362769,0.2642167911874082,248,True,True,e,,,,-102.45548055244028,False
