region,physical_group,delta_occurrence,delta_conditional_cre,delta_interaction,delta_adjustment,delta_total,n_cells_display_valid,total_ci_low_95,total_ci_high_95,total_significant,adjustment_ci_low_95,adjustment_ci_high_95,adjustment_significant
WP,low cloud,-1.3581135589897277,0.02055387582220085,-0.034518866059000876,-0.013964990236799993,-1.3720785492265284,12,-1.8529874501074965,-0.8945149721170668,True,-0.12665723378282256,0.10305474013412157,False
WP,mid-level cloud,0.01357495160935493,0.06150288267032806,-0.019718162947320473,0.041784719723007596,0.055359671332361415,12,-0.1932064316444228,0.3247792692819167,False,-0.06497055581223048,0.1342325907383814,False
WP,thin high cloud,-0.7005977849083016,0.2573188633660018,-0.038448913721537165,0.21886994964446463,-0.4817278352638348,6,-0.8136588810635873,-0.002654035669597079,True,0.10646838106019452,0.3654943107047011,True
WP,thick anvil cloud,0.873824986274996,0.22146296175071573,-0.002349985007952228,0.21911297674276348,1.0929379630177598,6,0.7085775652124339,1.4677844706615493,True,0.03104897542872284,0.4604098635045412,True
WP,deep convective cloud,0.9181533084740081,0.0869919658946405,0.0015340837607501212,0.08852604965539064,1.0066793581293987,6,0.668957327025241,1.4053169302816089,True,-0.03665648751976805,0.2525478793981326,False
CP,low cloud,1.919800256850023,-0.10553499523639456,0.02040275862540649,-0.08513223661098807,1.8346680202390333,11,1.4856680080006788,2.055740232466585,True,-0.1882599647887257,0.04190994603123005,False
CP,mid-level cloud,-0.04477580202674267,-0.01083381741307949,0.011378355714164432,0.0005445383010849528,-0.04423126372565811,12,-0.21200077533261594,0.18108601450486214,False,-0.058262048258230933,0.0622711552700949,False
CP,thin high cloud,1.3284124459434494,0.09905718616401668,-0.008625961923420527,0.09043122424059614,1.418843670184046,6,1.1256220049232184,1.7080576858168568,True,0.02814038359851113,0.17887449360940097,True
CP,thick anvil cloud,-0.9217715929109034,0.19859396364924542,-0.07029371724065496,0.12830024640859047,-0.7934713465023115,6,-1.1625643471411622,-0.41145947881205164,True,-0.05612797978819669,0.2841557373028697,False
CP,deep convective cloud,-1.4325308202237346,0.1069941379117268,-0.06147096341924453,0.04552317449248229,-1.3870076457312526,6,-1.8483107666225853,-0.8948365180977937,True,-0.13397886113806606,0.17632550110267034,False
EP,low cloud,1.2093941252721327,-0.1776963214850419,0.017998729179306783,-0.15969759230573516,1.0496965329664008,12,-1.6919705149521107,3.8256385192572986,False,-0.5687977587440994,0.23095049098784742,False
EP,mid-level cloud,0.03211924258889015,0.09996789685010031,0.015374620302552922,0.11534251715265323,0.1474617597415433,12,-0.14084841250514002,0.4188544034188089,False,0.06746409318040972,0.17534924211972613,True
EP,thin high cloud,0.2961131451492107,0.07496271965651935,-0.00965985811300976,0.06530286154350957,0.3614160066927201,6,0.11977133224508785,0.6461603926447755,True,0.015993596936423198,0.12191242850836086,True
EP,thick anvil cloud,-0.33995242398197534,0.047977038265924074,0.02028385272018169,0.06826089098610577,-0.27169153299587,6,-0.5837733761398772,0.052245893894948575,False,-0.03046372040872133,0.1838281423666634,False
EP,deep convective cloud,-0.46975348008560414,0.05210069502178227,0.03540581522693924,0.08750651024872151,-0.38224696983688267,6,-0.6987771842480618,-0.06855608581597306,True,0.022915556321127066,0.1629673129414207,True
