region,physical_group,group_label,component,panel_title,deterministic_estimate,ci_low_95,ci_high_95,significant,black_dot,hatch_drawn,display_value,sign_stability_probability,n_cells_display_valid
WP,low cloud,Low,SW,SW contribution,-1.5400005131124521,-2.050270165919196,-0.9696751437101391,True,True,False,-1.54,1.0,12
CP,low cloud,Low,SW,SW contribution,2.147804500029614,1.7821797282885599,2.4049289403037304,True,True,False,2.15,1.0,11
EP,low cloud,Low,SW,SW contribution,1.072118911463928,-1.9019946609745768,4.169602819023787,False,False,False,1.07,0.7685,12
WP,mid-level cloud,Mid-level,SW,SW contribution,0.33047053194324594,-0.056993217516243595,0.884427271611408,False,False,False,0.33,0.957,12
CP,mid-level cloud,Mid-level,SW,SW contribution,-0.44584896451029277,-0.7343664690672442,0.03486481478071133,False,False,False,-0.45,0.9575,12
EP,mid-level cloud,Mid-level,SW,SW contribution,-0.10510010596231112,-0.6034459609250562,0.35278194941619156,False,False,False,-0.11,0.6475,12
WP,thin high cloud,Thin high,SW,SW contribution,1.9148624890329105,1.1227166507402293,2.5429887652151986,True,True,False,1.91,1.0,6
CP,thin high cloud,Thin high,SW,SW contribution,-2.697225427359964,-3.2329354373669195,-2.084178346502841,True,True,False,-2.70,1.0,6
EP,thin high cloud,Thin high,SW,SW contribution,-0.5381303734279013,-1.0729040050190226,-0.07056897730133053,True,True,False,-0.54,0.993,6
WP,thick anvil cloud,Thick anvil,SW,SW contribution,5.058144408911833,3.322857396342882,6.791773681997046,True,True,False,5.06,1.0,6
CP,thick anvil cloud,Thick anvil,SW,SW contribution,-6.395390565490041,-8.034353779340309,-4.670453034736406,True,True,False,-6.40,1.0,6
EP,thick anvil cloud,Thick anvil,SW,SW contribution,-1.5930752885090662,-2.9677290598901744,-0.3020269488650083,True,True,False,-1.59,0.998,6
WP,deep convective cloud,"Deep
 convective",SW,SW contribution,2.752198501718862,1.8138717699194242,3.841391353449874,True,True,False,2.75,1.0,6
CP,deep convective cloud,"Deep
 convective",SW,SW contribution,-4.5522660670128205,-5.678933683025341,-3.25964384223741,True,True,False,-4.55,1.0,6
