month,region,phase_index,NetPath_low_monthly,NetPath_thin_monthly,NetPath_thick_monthly,NetPath_deep_monthly,NetPath_high_total_monthly,NetPath_high_contrast_monthly
2002-07-01,CP,1,-5.550742977276533,2.277646295593057,-2.515080874336826,-2.954125471229647,-3.191560049973415,-7.746852641159530
2002-08-01,CP,1,-5.153014770835879,3.284267053709189,-3.613424267637827,-4.519973672009781,-4.849130885938419,-11.417664993356798
2002-09-01,CP,1,-5.573846244292087,3.597887396895689,-3.085249824171334,-4.304352628354216,-3.791715055629862,-10.987489849421241
2002-10-01,CP,1,-4.957063587622119,3.121432889017769,-3.858070120704679,-4.527679546445707,-5.264316778132617,-11.507182556168154
2002-11-01,CP,1,-5.037304156089076,4.246046049998532,-3.222817729952041,-4.492197756281533,-3.468969436235042,-11.961061536232107
2002-12-01,CP,1,-5.301952845091601,4.125810647744789,-4.046931237661786,-5.411219045284728,-5.332339635201725,-13.583960930691303
2003-01-01,CP,1,-5.076773785959145,5.469037808302126,-3.914515379812777,-5.200984606749346,-3.646462178259997,-14.584537794864248
2003-02-01,CP,1,-6.681518501729705,4.618621580117109,-2.838663237970320,-4.563784881688747,-2.783826539541958,-12.021069699776177
2003-03-01,CP,0,-5.901358852348860,3.421391580651712,-3.050744343434906,-3.631490621004670,-3.260843383787863,-10.103626545091288
2003-04-01,CP,0,-5.756246586152247,2.976830590045014,-3.641302447052329,-3.886501161379996,-4.550973018387311,-10.504634198477339
2003-05-01,CP,-1,-6.303464721863320,3.042813491354129,-2.475580457933350,-2.898563546358342,-2.331330512937563,-8.416957495645821
2003-06-01,CP,0,-5.393187746335708,3.366848094832740,-1.244151541187768,-2.052740149927542,0.069956403717431,-6.663739785948049
2003-07-01,CP,0,-5.883583353205107,3.304649484389952,-1.724409614209581,-2.352346907380202,-0.772107037199832,-7.381406005979735
2003-08-01,CP,0,-6.804838983801261,3.225995432328009,-1.787434233071047,-2.480790362049044,-1.042229162792082,-7.494220027448101
2003-09-01,CP,0,-6.451865041718963,2.643695109246997,-2.381289753513766,-2.689965275685828,-2.427559919952597,-7.714950138446592
2003-10-01,CP,0,-6.202684711651351,3.053403189319926,-2.605754422976469,-3.124795808915386,-2.677147042571928,-8.783953421211780
2003-11-01,CP,0,-5.860536126926586,3.047815946233249,-2.913989631557303,-3.691365359221960,-3.557539044546014,-9.653170937012511
2003-12-01,CP,0,-5.832096755213707,4.011584978672786,-2.701262579666813,-3.995140284189968,-2.684817885183994,-10.707987842529567
2004-01-01,CP,0,-6.225770036715422,5.644562280892554,-2.600373682078655,-4.193055455649573,-1.148866856835674,-12.437991418620783
2004-02-01,CP,0,-7.226507537629995,3.032912809962171,-3.207650755136306,-3.815709280158339,-3.990447225332474,-10.056272845256816
2004-03-01,CP,0,-6.791201248487016,2.926448379934806,-4.547254321334709,-4.710173608670499,-6.330979550070401,-12.183876309940013
2004-04-01,CP,0,-5.792538335716387,2.886039024172145,-3.639564380039574,-4.295726796968601,-5.049252152836031,-10.821330201180322
2004-05-01,CP,0,-6.592922770651822,2.811807757006132,-1.901281735839476,-2.342597291473229,-1.432071270306573,-7.055686784318837
2004-06-01,CP,0,-5.341820642031601,3.845917531274690,-2.013278597597498,-2.959007726749701,-1.126368793072509,-8.818203855621888
2004-07-01,CP,1,-4.666587448134836,4.114468285821544,-1.199006562841262,-1.931424597253841,0.984037125726441,-7.244899445916647
2004-08-01,CP,1,-5.523507909202682,2.951157155791344,-2.704272185633685,-3.158791434221405,-2.911906464063746,-8.814220775646435
2004-09-01,CP,1,-5.548446075877661,2.974630479638983,-2.106362122658048,-2.759616116603750,-1.891347759622815,-7.840608718900780
2004-10-01,CP,1,-5.064151382289871,3.219177310012844,-3.311021397289201,-3.322167910998638,-3.414011998274994,-9.852366618300683
2004-11-01,CP,1,-4.808246888885230,4.173685697511817,-2.781516276903007,-3.906688885915681,-2.514519465306871,-10.861890860330504
2004-12-01,CP,1,-5.705951547465634,3.345660364544515,-2.806423653877120,-3.888360352511107,-3.349123641843712,-10.040444370932741
2005-01-01,CP,1,-6.181709504542223,3.747295033872903,-3.238215257814518,-4.027107362435363,-3.518027586376979,-11.012617654122785
