month,region,phase_index,relationship_id,predictor_name,response_name,predictor_value,response_value,panel_letter,panel_title,row_label,x_label,y_label,R2,slope,intercept,slope_ci_low_95,slope_ci_high_95,slope_significant,delta_adjusted_R2_vs_HCCF
2002-07-01,WP,1,HCCF_comparator,HCCF_anom,NetPath_high_total_anom,-0.081238711855048,0.071869770971126,(a),Western Pacific,HCCF → High-cloud pathway,HCCF anomaly,High-cloud Net CRE contribution (W m$^{-2}$),0.410931956000000,-16.070272304800000,0.000000000000000,-20.571603154900000,-13.664922615100000,True,
2002-08-01,WP,1,HCCF_comparator,HCCF_anom,NetPath_high_total_anom,0.009615641986820,0.500283457030180,(a),Western Pacific,HCCF → High-cloud pathway,HCCF anomaly,High-cloud Net CRE contribution (W m$^{-2}$),0.410931956000000,-16.070272304800000,0.000000000000000,-20.571603154900000,-13.664922615100000,True,
2002-09-01,WP,1,HCCF_comparator,HCCF_anom,NetPath_high_total_anom,-0.101558336900941,2.185312562766707,(a),Western Pacific,HCCF → High-cloud pathway,HCCF anomaly,High-cloud Net CRE contribution (W m$^{-2}$),0.410931956000000,-16.070272304800000,0.000000000000000,-20.571603154900000,-13.664922615100000,True,
2002-10-01,WP,1,HCCF_comparator,HCCF_anom,NetPath_high_total_anom,-0.074344650764469,2.286611993346188,(a),Western Pacific,HCCF → High-cloud pathway,HCCF anomaly,High-cloud Net CRE contribution (W m$^{-2}$),0.410931956000000,-16.070272304800000,0.000000000000000,-20.571603154900000,-13.664922615100000,True,
2002-11-01,WP,1,HCCF_comparator,HCCF_anom,NetPath_high_total_anom,-0.035723523098768,0.873954230031047,(a),Western Pacific,HCCF → High-cloud pathway,HCCF anomaly,High-cloud Net CRE contribution (W m$^{-2}$),0.410931956000000,-16.070272304800000,0.000000000000000,-20.571603154900000,-13.664922615100000,True,
2002-12-01,WP,1,HCCF_comparator,HCCF_anom,NetPath_high_total_anom,-0.213634774175588,2.614806893873544,(a),Western Pacific,HCCF → High-cloud pathway,HCCF anomaly,High-cloud Net CRE contribution (W m$^{-2}$),0.410931956000000,-16.070272304800000,0.000000000000000,-20.571603154900000,-13.664922615100000,True,
2003-01-01,WP,1,HCCF_comparator,HCCF_anom,NetPath_high_total_anom,-0.054652093824778,1.045158368493827,(a),Western Pacific,HCCF → High-cloud pathway,HCCF anomaly,High-cloud Net CRE contribution (W m$^{-2}$),0.410931956000000,-16.070272304800000,0.000000000000000,-20.571603154900000,-13.664922615100000,True,
2003-02-01,WP,1,HCCF_comparator,HCCF_anom,NetPath_high_total_anom,-0.065897276263448,0.771202228837650,(a),Western Pacific,HCCF → High-cloud pathway,HCCF anomaly,High-cloud Net CRE contribution (W m$^{-2}$),0.410931956000000,-16.070272304800000,0.000000000000000,-20.571603154900000,-13.664922615100000,True,
2003-03-01,WP,0,HCCF_comparator,HCCF_anom,NetPath_high_total_anom,-0.031732818345303,-0.682801382203633,(a),Western Pacific,HCCF → High-cloud pathway,HCCF anomaly,High-cloud Net CRE contribution (W m$^{-2}$),0.410931956000000,-16.070272304800000,0.000000000000000,-20.571603154900000,-13.664922615100000,True,
2003-04-01,WP,0,HCCF_comparator,HCCF_anom,NetPath_high_total_anom,-0.053345510793760,1.417004082652417,(a),Western Pacific,HCCF → High-cloud pathway,HCCF anomaly,High-cloud Net CRE contribution (W m$^{-2}$),0.410931956000000,-16.070272304800000,0.000000000000000,-20.571603154900000,-13.664922615100000,True,
