phase,event_id,date,year,month_number,month,season,nino34_sst,nino34_anom,nino34_anom_std_1981_2010,nino34_anom_std_1991_2020,oni_3mon
El Nino,1,2002-07-15,2002,7,2002-07-01,JJA,28.030000,0.740000,0.817675,0.842411,0.776667
El Nino,1,2002-08-15,2002,8,2002-08-01,JJA,27.720000,0.870000,0.961321,0.990402,0.900000
El Nino,1,2002-09-15,2002,9,2002-09-01,SON,27.810000,1.090000,1.204413,1.240848,1.070000
El Nino,1,2002-10-15,2002,10,2002-10-01,SON,27.960000,1.250000,1.381208,1.422991,1.270000
El Nino,1,2002-11-15,2002,11,2002-11-01,SON,28.170000,1.470000,1.624300,1.673437,1.363333
El Nino,1,2002-12-15,2002,12,2002-12-01,DJF,27.970000,1.370000,1.513804,1.559598,1.146667
El Nino,1,2003-01-15,2003,1,2003-01-01,DJF,27.150000,0.600000,0.662980,0.683036,0.870000
El Nino,1,2003-02-15,2003,2,2003-02-01,DJF,27.390000,0.640000,0.707178,0.728571,0.533333
El Nino,2,2004-08-15,2004,8,2004-08-01,JJA,27.620000,0.760000,0.839774,0.865178,0.686667
El Nino,2,2004-09-15,2004,9,2004-09-01,SON,27.530000,0.810000,0.895023,0.922098,0.766667
El Nino,2,2004-10-15,2004,10,2004-10-01,SON,27.440000,0.730000,0.806625,0.831027,0.733333
El Nino,2,2004-11-15,2004,11,2004-11-01,SON,27.360000,0.660000,0.729278,0.751339,0.710000
El Nino,2,2004-12-15,2004,12,2004-12-01,DJF,27.340000,0.740000,0.817675,0.842411,0.686667
El Nino,2,2005-01-15,2005,1,2005-01-01,DJF,27.210000,0.660000,0.729278,0.751339,0.586667
El Nino,3,2006-09-15,2006,9,2006-09-01,SON,27.320000,0.600000,0.662980,0.683036,0.536667
El Nino,3,2006-10-15,2006,10,2006-10-01,SON,27.410000,0.700000,0.773476,0.796875,0.763333
El Nino,3,2006-11-15,2006,11,2006-11-01,SON,27.690000,0.990000,1.093917,1.127009,0.943333
El Nino,3,2006-12-15,2006,12,2006-12-01,DJF,27.740000,1.140000,1.259662,1.297768,0.943333
El Nino,3,2007-01-15,2007,1,2007-01-01,DJF,27.240000,0.700000,0.773476,0.796875,0.656667
