date,year,month,nino34_sst,nino34_anom,nino34_anom_std_1981_2010,nino34_anom_std_1991_2020,oni_3mon,season
2002-07-15,2002,7,28.030000,0.740000,0.817675,0.842411,0.776667,JJA
2002-08-15,2002,8,27.720000,0.870000,0.961321,0.990402,0.900000,JJA
2002-09-15,2002,9,27.810000,1.090000,1.204413,1.240848,1.070000,SON
2002-10-15,2002,10,27.960000,1.250000,1.381208,1.422991,1.270000,SON
2002-11-15,2002,11,28.170000,1.470000,1.624300,1.673437,1.363333,SON
2002-12-15,2002,12,27.970000,1.370000,1.513804,1.559598,1.146667,DJF
2003-01-15,2003,1,27.150000,0.600000,0.662980,0.683036,0.870000,DJF
2003-02-15,2003,2,27.390000,0.640000,0.707178,0.728571,0.533333,DJF
2003-03-15,2003,3,27.650000,0.360000,0.397788,0.409821,0.286667,MAM
2003-04-15,2003,4,27.680000,-0.140000,-0.154695,-0.159375,-0.130000,MAM
2003-05-15,2003,5,27.320000,-0.610000,-0.674029,-0.694420,-0.346667,MAM
2003-06-15,2003,6,27.440000,-0.290000,-0.320440,-0.330134,-0.230000,JJA
2003-07-15,2003,7,27.500000,0.210000,0.232043,0.239062,0.060000,JJA
2003-08-15,2003,8,27.110000,0.260000,0.287291,0.295982,0.246667,JJA
2003-09-15,2003,9,26.990000,0.270000,0.298341,0.307366,0.316667,SON
2003-10-15,2003,10,27.140000,0.420000,0.464086,0.478125,0.340000,SON
2003-11-15,2003,11,27.040000,0.330000,0.364639,0.375670,0.393333,SON
2003-12-15,2003,12,27.030000,0.430000,0.475135,0.489509,0.343333,DJF
2004-01-15,2004,1,26.810000,0.270000,0.298341,0.307366,0.310000,DJF
2004-02-15,2004,2,26.980000,0.230000,0.254142,0.261830,0.206667,DJF
2004-03-15,2004,3,27.400000,0.120000,0.132596,0.136607,0.140000,MAM
2004-04-15,2004,4,27.890000,0.070000,0.077348,0.079687,0.083333,MAM
2004-05-15,2004,5,28.000000,0.060000,0.066298,0.068304,0.086667,MAM
2004-06-15,2004,6,27.860000,0.130000,0.143646,0.147991,0.226667,JJA
2004-07-15,2004,7,27.780000,0.490000,0.541433,0.557812,0.460000,JJA
2004-08-15,2004,8,27.620000,0.760000,0.839774,0.865178,0.686667,JJA
2004-09-15,2004,9,27.530000,0.810000,0.895023,0.922098,0.766667,SON
2004-10-15,2004,10,27.440000,0.730000,0.806625,0.831027,0.733333,SON
2004-11-15,2004,11,27.360000,0.660000,0.729278,0.751339,0.710000,SON
2004-12-15,2004,12,27.340000,0.740000,0.817675,0.842411,0.686667,DJF
2005-01-15,2005,1,27.210000,0.660000,0.729278,0.751339,0.586667,DJF
2005-02-15,2005,2,27.110000,0.360000,0.397788,0.409821,0.490000,DJF
2005-03-15,2005,3,27.730000,0.450000,0.497235,0.512277,0.356667,MAM
2005-04-15,2005,4,28.080000,0.260000,0.287291,0.295982,0.336667,MAM
2005-05-15,2005,5,28.240000,0.300000,0.331490,0.341518,0.200000,MAM
2005-06-15,2005,6,27.770000,0.040000,0.044199,0.045536,0.036667,JJA
2005-07-15,2005,7,27.060000,-0.230000,-0.254142,-0.261830,-0.080000,JJA
2005-08-15,2005,8,26.800000,-0.050000,-0.055248,-0.056920,-0.106667,JJA
2005-09-15,2005,9,26.680000,-0.040000,-0.044199,-0.045536,-0.050000,SON
2005-10-15,2005,10,26.650000,-0.060000,-0.066298,-0.068304,-0.230000,SON
2005-11-15,2005,11,26.110000,-0.590000,-0.651930,-0.671652,-0.523333,SON
2005-12-15,2005,12,25.680000,-0.920000,-1.016569,-1.047321,-0.806667,DJF
2006-01-15,2006,1,25.630000,-0.910000,-1.005519,-1.035937,-0.833333,DJF
2006-02-15,2006,2,26.080000,-0.670000,-0.740327,-0.762723,-0.763333,DJF
2006-03-15,2006,3,26.570000,-0.710000,-0.784526,-0.808259,-0.566667,MAM
2006-04-15,2006,4,27.500000,-0.320000,-0.353589,-0.364286,-0.373333,MAM
2006-05-15,2006,5,27.850000,-0.090000,-0.099447,-0.102455,-0.136667,MAM
2006-06-15,2006,6,27.730000,0.000000,0.000000,0.000000,-0.026667,JJA
2006-07-15,2006,7,27.300000,0.010000,0.011050,0.011384,0.106667,JJA
