region,cloud_type,ctp_bin,tau_bin,physical_group,DeltaCF_paired,CRE0_Net_ratio,AmountNet_candidate,ci_low_95,ci_high_95,significant,sign_stability_probability,valid_n_kernel,display_valid_n_ge_24,sensitivity_valid_n_ge_48,plot_dot,plot_hatch,support,term
TP,1,1000-800,0.02-1.27,low cloud,-0.007771424121428498,-10.668947706857088,0.08291291755932843,0.05458350351084189,0.1134707365707253,True,1.0,248,True,True,True,False,paired_valid_candidate_degC05,Occurrence_Net
TP,2,1000-800,1.27-3.55,low cloud,-0.008558897350631464,-31.816181088397297,0.2723114280246945,0.15413087184788243,0.36972482476800805,True,1.0,248,True,True,True,False,paired_valid_candidate_degC05,Occurrence_Net
TP,3,1000-800,3.55-9.38,low cloud,-0.0033021400246617885,-68.12699740651976,0.22496488489609878,-0.32257539691737647,0.743088233259215,False,0.7755,248,True,True,False,False,paired_valid_candidate_degC05,Occurrence_Net
TP,4,1000-800,9.38-22.63,low cloud,-0.0006229902089199199,-113.82639390240746,0.07091272891786192,-0.33754412616503193,0.5245830729030894,False,0.6935,248,True,True,False,False,paired_valid_candidate_degC05,Occurrence_Net
TP,5,1000-800,22.63-60.36,low cloud,-0.0002627189332639116,-156.0320309495886,0.04099256872607755,-0.013996831567927803,0.10408300771394531,False,0.9345,248,True,True,False,False,paired_valid_candidate_degC05,Occurrence_Net
TP,6,1000-800,60.36-378.65,low cloud,-1.4409939482321731e-06,-212.75141221156076,0.0003065734974747075,1.8022933649152437e-05,0.0005703644895082083,True,0.9825,223,True,True,True,False,paired_valid_candidate_degC05,Occurrence_Net
TP,7,800-680,0.02-1.27,low cloud,0.0011022067602997985,-4.674729961504457,-0.005152518966146229,-0.009083278058915416,-0.0014555295865418798,True,0.999,248,True,True,True,False,paired_valid_candidate_degC05,Occurrence_Net
TP,8,800-680,1.27-3.55,low cloud,0.0021911325699876597,-24.401276875792963,-0.053466432511836685,-0.10118116912584614,-0.012811912273270096,True,0.997,248,True,True,True,False,paired_valid_candidate_degC05,Occurrence_Net
TP,9,800-680,3.55-9.38,low cloud,-0.00044472616276775706,-62.300791393635,0.027706791893885797,-0.057549890025689436,0.1012825609312955,False,0.7105,248,True,True,False,False,paired_valid_candidate_degC05,Occurrence_Net
TP,10,800-680,9.38-22.63,low cloud,-0.001279462427150697,-104.34733483832468,0.1335084942989494,0.0732710922817299,0.19760526550902116,True,1.0,248,True,True,True,False,paired_valid_candidate_degC05,Occurrence_Net
TP,11,800-680,22.63-60.36,low cloud,-0.00014161947645905195,-142.82150813646766,0.020226307209378777,0.005326872086188421,0.03730791644022903,True,0.9965,248,True,True,True,False,paired_valid_candidate_degC05,Occurrence_Net
TP,12,800-680,60.36-378.65,low cloud,9.030915087730704e-07,-188.3854303366425,-0.0001701292825135826,-0.0003708817279493816,3.2922905913900564e-05,False,0.943,248,True,True,False,False,paired_valid_candidate_degC05,Occurrence_Net
TP,13,680-560,0.02-1.27,mid-level cloud,0.0017477895127315912,0.9456469769627062,0.0016527918690817504,0.0007822782714737772,0.002569137591777764,True,1.0,248,True,True,True,False,paired_valid_candidate_degC05,Occurrence_Net
TP,14,680-560,1.27-3.55,mid-level cloud,0.0017406865342801774,-11.25763343870852,-0.01959601093462217,-0.0334485030014295,-0.003623880412674166,True,0.996,248,True,True,True,False,paired_valid_candidate_degC05,Occurrence_Net
TP,15,680-560,3.55-9.38,mid-level cloud,0.0006654475333572468,-44.24915919004324,-0.029445493836146423,-0.06631665385706224,0.009942492041684918,False,0.9175,248,True,True,False,False,paired_valid_candidate_degC05,Occurrence_Net
