region,physical_group,AmountSW_candidate,AmountLW_candidate,AmountNet_candidate,n_cells_display_valid
TP,low cloud,0.8367996997864096,-0.021746085523156152,0.8150536142632534,12
TP,mid-level cloud,-0.19306608010073148,0.17875647839192602,-0.014309601708805441,12
TP,thin high cloud,-0.6984218672637386,1.031132019704768,0.3327101524410296,6
TP,thick anvil cloud,-1.4623654506106387,1.2372618413651522,-0.2251036092454866,6
TP,deep convective cloud,-1.2910942207540503,0.8729268463687312,-0.41816737438531915,6
WP,low cloud,-1.4741804602097583,0.1160669012200308,-1.3581135589897275,12
WP,mid-level cloud,0.3738746662941304,-0.36029971468477545,0.013574951609354988,12
WP,thin high cloud,1.674597204318324,-2.375194989226625,-0.7005977849083013,6
WP,thick anvil cloud,5.044909354330251,-4.171084368055254,0.8738249862749959,6
WP,deep convective cloud,2.7516784209113276,-1.8335251124373197,0.918153308474008,6
CP,low cloud,1.9839554488526456,-0.06415519200262323,1.9198002568500225,11
CP,mid-level cloud,-0.6077785295615676,0.5630027275348249,-0.04477580202674269,12
CP,thin high cloud,-2.8033982447897863,4.131810690733236,1.3284124459434492,6
CP,thick anvil cloud,-6.553661809001132,5.631890216090229,-0.9217715929109029,6
CP,deep convective cloud,-4.565797464677929,3.1332666444541952,-1.4325308202237337,6
EP,low cloud,1.3026377212249807,-0.09324359595284636,1.2093941252721343,12
EP,mid-level cloud,-0.23396732170335435,0.2660865642922446,0.03211924258889023,12
EP,thin high cloud,-0.5910580756330462,0.8871712207822573,0.296113145149211,6
EP,thick anvil cloud,-1.6781451680720278,1.3381927440900523,-0.33995242398197567,6
EP,deep convective cloud,-1.3003833380261764,0.8306298579405723,-0.469753480085604,6
