region,cloud_type,ctp_bin,tau_bin,physical_group,DeltaCF_paired,CRE0_Net_ratio,AmountNet_candidate,ci_low_95,ci_high_95,significant,sign_stability_probability,valid_n_kernel,display_valid_n_ge_24,sensitivity_valid_n_ge_48,plot_dot,plot_hatch,support,term
CP,1,1000-800,0.02-1.27,low cloud,-0.0249019198636636,-10.397432898801092,0.2589160408337644,0.1935763346499573,0.3166646761882636,True,1.0,248,True,True,True,False,paired_valid_candidate_degC05,Occurrence_Net
CP,2,1000-800,1.27-3.55,low cloud,-0.0252796453229215,-29.76806694478621,0.7525261743131791,0.6161989400247292,0.8324177167761463,True,1.0,248,True,True,True,False,paired_valid_candidate_degC05,Occurrence_Net
CP,3,1000-800,3.55-9.38,low cloud,-0.0073227927960363,-64.6561783842179,0.4734637972911931,0.3804747785167521,0.5317569135968806,True,1.0,248,True,True,True,False,paired_valid_candidate_degC05,Occurrence_Net
CP,4,1000-800,9.38-22.63,low cloud,-0.000447516997586,-105.84171404773488,0.0473659660900033,0.0322474354164281,0.0611033160425894,True,1.0,248,True,True,True,False,paired_valid_candidate_degC05,Occurrence_Net
CP,5,1000-800,22.63-60.36,low cloud,-8.704357252219269e-07,-137.17766179504684,0.0001194043375288,-0.0002444753058949,0.0007065043371659,False,0.794,247,True,True,False,False,paired_valid_candidate_degC05,Occurrence_Net
CP,6,1000-800,60.36-378.65,low cloud,-7.15711936854906e-11,-146.89665308390846,1.0513568809618731e-08,-7.312362873694892e-08,6.069822471059583e-08,False,0.5115,17,False,False,False,True,paired_valid_candidate_degC05,Occurrence_Net
CP,7,800-680,0.02-1.27,low cloud,0.0004796929847114,-4.405995525197294,-0.0021135251441069,-0.0061095894279982,0.0006523558462511,False,0.933,248,True,True,False,False,paired_valid_candidate_degC05,Occurrence_Net
CP,8,800-680,1.27-3.55,low cloud,0.001928126654602,-23.298865371635284,-0.0449231633450354,-0.0814217527456345,-0.0118225153975854,True,0.997,248,True,True,True,False,paired_valid_candidate_degC05,Occurrence_Net
CP,9,800-680,3.55-9.38,low cloud,-0.0038036006635867,-60.735179716224174,0.2310123698716936,0.1498269874050578,0.2855516565770727,True,0.9995,248,True,True,True,False,paired_valid_candidate_degC05,Occurrence_Net
CP,10,800-680,9.38-22.63,low cloud,-0.0018869854165591,-102.45548055244028,0.1933319976490163,0.1549108616134883,0.2199750043266952,True,1.0,248,True,True,True,False,paired_valid_candidate_degC05,Occurrence_Net
CP,11,800-680,22.63-60.36,low cloud,-7.292297643190062e-05,-139.6188344698068,0.0101814209754911,0.0063445862795136,0.0148718688832981,True,0.9995,248,True,True,True,False,paired_valid_candidate_degC05,Occurrence_Net
CP,12,800-680,60.36-378.65,low cloud,4.456898144154088e-07,-180.00416457839785,-8.022602270494684e-05,-0.0001582140340533,-2.2443445309380913e-06,True,0.977,243,True,True,True,False,paired_valid_candidate_degC05,Occurrence_Net
CP,13,680-560,0.02-1.27,mid-level cloud,0.0040760432344209,1.8167246548947509,0.0074050482383894,0.0052294311186828,0.0092839806526569,True,1.0,248,True,True,True,False,paired_valid_candidate_degC05,Occurrence_Net
CP,14,680-560,1.27-3.55,mid-level cloud,0.0054417762639402,-9.312235225198943,-0.050675100612716,-0.0637889930250393,-0.0313129838505382,True,1.0,248,True,True,True,False,paired_valid_candidate_degC05,Occurrence_Net
CP,15,680-560,3.55-9.38,mid-level cloud,0.0015749546792758,-41.24398272914038,-0.0649574035912322,-0.1016414346606655,-0.0180888248289257,True,0.996,248,True,True,True,False,paired_valid_candidate_degC05,Occurrence_Net
CP,16,680-560,9.38-22.63,mid-level cloud,-0.0007833048661168,-90.2793292397578,0.0707162379032706,0.0528306472011324,0.09625426201168,True,1.0,248,True,True,True,False,paired_valid_candidate_degC05,Occurrence_Net
CP,17,680-560,22.63-60.36,mid-level cloud,-0.000183874824247,-133.2532627243256,0.024501920263775,0.0192145553834049,0.0309538246990145,True,1.0,248,True,True,True,False,paired_valid_candidate_degC05,Occurrence_Net
CP,18,680-560,60.36-378.65,mid-level cloud,-2.1740861768140324e-06,-196.04990780620176,0.0004262293945271,0.0002002329777101,0.0006050688692978,True,1.0,248,True,True,True,False,paired_valid_candidate_degC05,Occurrence_Net
CP,19,560-440,0.02-1.27,mid-level cloud,0.0030229801739326,9.805876150534855,0.0296429691911058,0.0173063451868211,0.0364936764711755,True,1.0,248,True,True,True,False,paired_valid_candidate_degC05,Occurrence_Net
CP,20,560-440,1.27-3.55,mid-level cloud,0.0023069096185545,2.0142591595790806,0.0046467138294945,0.0025496357150171,0.0055636570797109,True,1.0,248,True,True,True,False,paired_valid_candidate_degC05,Occurrence_Net
CP,21,560-440,3.55-9.38,mid-level cloud,0.0031271178202274,-32.85411498100634,-0.1027386884249052,-0.1375979377182433,-0.0488843842784965,True,1.0,248,True,True,True,False,paired_valid_candidate_degC05,Occurrence_Net
CP,22,560-440,9.38-22.63,mid-level cloud,-7.630032511780037e-05,-80.5917259725136,0.0061491748935074,-0.0455035549775209,0.0679647054807908,False,0.6665,248,True,True,False,False,paired_valid_candidate_degC05,Occurrence_Net
CP,23,560-440,22.63-60.36,mid-level cloud,-0.0002359484441402,-122.69316684650236,0.0289492618240752,0.0074458354910175,0.0498737518651933,True,0.9965,248,True,True,True,False,paired_valid_candidate_degC05,Occurrence_Net
