region,physical_group,spatial_regional_estimate,spatial_ci_low_95,spatial_ci_high_95,spatial_significant,spatial_sign_stability_probability,Figure07_candidate_estimate,Figure07_ci_low,Figure07_ci_high,Figure07_significant,estimate_difference_spatial_minus_Figure07,sign_consistent,significance_consistent
WP,low cloud,-1.3572546717235774,-1.8357348267140705,-0.884394379482784,True,1.0,-1.3720785492265284,-1.8529874501074963,-0.8945149721170668,True,0.014823877502951,True,True
WP,thin high cloud,-0.4835991732567946,-0.8164241055576362,-0.0031119228428275222,True,0.9755,-0.4817278352638348,-0.8136588810635873,-0.002654035669597,True,-0.0018713379929597984,True,True
WP,thick anvil cloud,1.0938574819234819,0.7087319535276111,1.4692473759978375,True,1.0,1.0929379630177598,0.7085775652124339,1.4677844706615493,True,0.000919518905722061,True,True
WP,deep convective cloud,1.007766784229641,0.6708427263530958,1.4061922816461834,True,1.0,1.006679358129399,0.6689573270252401,1.4053169302816089,True,0.0010874261002420393,True,True
CP,low cloud,1.8166146103157104,1.4714201083436484,2.0373108963152955,True,1.0,1.8346680202390333,1.4856680080006788,2.055740232466585,True,-0.01805340992332294,True,True
CP,thin high cloud,1.422698989432463,1.1296162614282568,1.711852683840327,True,1.0,1.418843670184046,1.1256220049232184,1.7080576858168568,True,0.0038553192484171994,True,True
CP,thick anvil cloud,-0.8016857966684721,-1.1725024527926344,-0.41825793472513373,True,1.0,-0.7934713465023115,-1.1625643471411622,-0.4114594788120516,True,-0.008214450166160514,True,True
CP,deep convective cloud,-1.3883262067818034,-1.851413393030007,-0.8952644341202575,True,1.0,-1.3870076457312526,-1.8483107666225853,-0.8948365180977946,True,-0.0013185610505508372,True,True
EP,low cloud,1.0634550984581956,-1.632401743724274,3.7979746236206697,False,0.782,1.0496965329664008,-1.6919705149521107,3.8256385192573057,False,0.013758565491794883,True,True
EP,thin high cloud,0.35982701019741825,0.11882102904400674,0.6444700404698713,True,0.9995,0.3614160066927201,0.1197713322450878,0.6461603926447755,True,-0.0015889964953018643,True,True
EP,thick anvil cloud,-0.27155407745103144,-0.5824577737681645,0.05154009320930938,False,0.9475,-0.27169153299587,-0.5837733761398772,0.0522458938949485,False,0.0001374555448385717,True,True
EP,deep convective cloud,-0.3817702644282366,-0.6986585877591982,-0.06815661059727807,True,0.9955,-0.3822469698368826,-0.6987771842480618,-0.068556085815973,True,0.0004767054086460276,True,True
