region,n_months,model_name,predictors,intercept,coefficient_LCSP,coefficient_HCCF,coefficient_HCTB,R2,adjusted_R2,RMSE,MAE,Pearson_r_observed_fitted,residual_mean,residual_std,AIC,BIC,model_finite,rank_deficient,condition_number
CP,248,M0,LCSP_anom,-0.0000000032,14.2841323833,,,0.0827448497,0.0790161702,1.4051607064,1.1232632440,0.2876540452,0.0000000000,1.4080022881,172.7152323043,179.7420897966,True,False,33.8456191743
CP,248,M1,LCSP_anom + HCCF_anom,-0.0000000032,50.4685514685,-16.6103164450,,0.1698074674,0.1630303855,1.3368119793,1.0698320985,0.4120770163,0.0000000000,1.3395153430,149.9826790692,160.5229653077,True,False,97.0830606703
CP,248,M2,LCSP_anom + HCTB_anom,-0.0000000032,6.2809038606,,-57.8350975756,0.5784850113,0.5750440726,0.9525492261,0.7492345753,0.7605820214,0.0000000000,0.9544755156,-18.1122922388,-7.5720060003,True,False,56.8114240785
CP,248,M3,LCSP_anom + HCCF_anom + HCTB_anom,-0.0000000032,36.4952947616,-13.7761020644,-56.3600974301,0.6380490224,0.6335988054,0.8826850973,0.6979280376,0.7987797083,0.0000000000,0.8844701044,-53.8942379952,-39.8405230106,True,False,98.5598831488
EP,248,M0,LCSP_anom,-0.0000000079,78.6510049159,,,0.7861160010,0.7852465539,1.0595260079,0.7903690583,0.8866318295,-0.0000000000,1.0616686310,32.6795363111,39.7063938034,True,False,38.7202795243
EP,248,M1,LCSP_anom + HCCF_anom,-0.0000000079,99.1182143961,-28.2031499663,,0.8481599818,0.8469204714,0.8927206846,0.7241630635,0.9209560151,-0.0000000000,0.8945259861,-50.2868390135,-39.7465527750,True,False,66.2948247171
EP,248,M2,LCSP_anom + HCTB_anom,-0.0000000079,75.2060163548,,-33.8042294613,0.8008074578,0.7991813963,1.0224898630,0.7206282013,0.8948784598,-0.0000000000,1.0245575899,17.0313847180,27.5716709565,True,False,122.4355738193
EP,248,M3,LCSP_anom + HCCF_anom + HCTB_anom,-0.0000000079,97.1732883260,-32.7298823108,-51.3198498313,0.8804221368,0.8789519172,0.7922237688,0.6157139696,0.9383081247,-0.0000000000,0.7938258407,-107.5240498220,-93.4703348373,True,False,125.3398514184
WP,248,M0,LCSP_anom,0.0000000049,-6.7856157910,,,0.0074994785,0.0034649235,1.7429026430,1.3885761114,0.0865995292,-0.0000000000,1.7464272222,279.5537468415,286.5806043338,True,False,44.7884443493
WP,248,M1,LCSP_anom + HCCF_anom,0.0000000049,33.1430771276,-14.7322743544,,0.0408864545,0.0330569562,1.7133369022,1.3659979602,0.2022039923,0.0000000000,1.7168016922,273.0676654145,283.6079516530,True,False,139.6908249110
WP,248,M2,LCSP_anom + HCTB_anom,0.0000000049,16.2295664325,,-50.0129239077,0.6150350759,0.6118925051,1.0854712797,0.8591376438,0.7842417203,-0.0000000000,1.0876663705,46.6790689157,57.2193551542,True,False,50.9606005265
WP,248,M3,LCSP_anom + HCCF_anom + HCTB_anom,0.0000000049,42.8236609574,-9.9162359165,-49.4006662303,0.6300702739,0.6255219576,1.0640630737,0.8339765015,0.7937696605,0.0000000000,1.0662148718,38.7989558195,52.8526708041,True,False,139.8166635366
