month,region,phase_index,HCCF_anom,HCTB_anom,LCSP_anom,Direct_Net_anom_formal,direct_source_verified,metric_source_verified
2002-07-01,CP,1,0.0024455104,0.0316481995,0.0285662223,-2.5096637741,True,True
2002-08-01,CP,1,0.1366140466,0.0296941382,0.0484529740,-1.8062165497,True,True
2002-09-01,CP,1,0.1252034231,-0.0022704502,0.0499191569,0.1235062508,True,True
2002-10-01,CP,1,0.1044968285,0.0174026069,0.0464173683,-0.8515018229,True,True
2002-11-01,CP,1,0.1089365474,-0.0113497750,0.0352119632,1.0366842831,True,True
2002-12-01,CP,1,0.1222094789,0.0179649822,0.0502817905,-0.5153656323,True,True
2003-01-01,CP,1,0.1677883638,-0.0132388740,0.0691619591,2.3698537168,True,True
2003-02-01,CP,1,0.0657125297,-0.0273739230,0.0320636020,3.4675495862,True,True
2003-03-01,CP,0,0.0336011804,-0.0277466607,0.0176954410,3.5735427850,True,True
2003-04-01,CP,0,0.0393938691,0.0143466224,0.0224992796,-0.6856027743,True,True
2003-05-01,CP,-1,0.0348699816,0.0058392563,0.0147965468,-1.1845098913,True,True
2003-06-01,CP,0,-0.0004532583,0.0044397166,0.0245666334,1.0782344671,True,True
2003-07-01,CP,0,0.0314235308,-0.0075368827,0.0048531816,0.7003542771,True,True
2003-08-01,CP,0,0.0026053514,-0.0219580875,0.0027025336,0.9680909812,True,True
2003-09-01,CP,0,0.0030194817,-0.0108622029,0.0087083691,0.7497713982,True,True
2003-10-01,CP,0,0.0105928837,-0.0214771182,0.0096560286,0.9599824778,True,True
2003-11-01,CP,0,-0.0043053321,-0.0048132982,0.0124226198,-0.1145745984,True,True
2003-12-01,CP,0,0.0674469285,-0.0148390063,0.0255830549,1.7090682819,True,True
2004-01-01,CP,0,0.0874477401,-0.0488584027,0.0372488933,4.3702533198,True,True
2004-02-01,CP,0,-0.0031366373,-0.0187005416,0.0027038116,1.2025565354,True,True
2004-03-01,CP,0,0.0648756526,0.0217452368,0.0109142992,-1.8398281533,True,True
2004-04-01,CP,0,0.0550560054,0.0301040059,0.0174340755,-1.2654835860,True,True
2004-05-01,CP,0,-0.0147975432,-0.0004622551,0.0032626635,-0.1758633416,True,True
2004-06-01,CP,0,0.0894872842,0.0126884198,0.0317433686,-0.5702507207,True,True
2004-07-01,CP,1,0.0604308540,-0.0316842256,0.0429150953,3.9680800700,True,True
2004-08-01,CP,1,0.0336765078,-0.0006783023,0.0319946776,-0.4540907509,True,True
2004-09-01,CP,1,0.0243442653,-0.0122668292,0.0288401852,2.6415703255,True,True
2004-10-01,CP,1,0.0479592905,-0.0093609015,0.0319694961,1.3939249232,True,True
2004-11-01,CP,1,0.0628942000,-0.0128944273,0.0340553459,2.2996692858,True,True
2004-12-01,CP,1,0.0320648922,0.0051180818,0.0334604648,1.2116621822,True,True
2005-01-01,CP,1,0.0362483526,-0.0128269403,0.0233759229,1.7902591629,True,True
2005-02-01,CP,0,0.1863646785,0.0240716401,0.0606832761,-1.9426464664,True,True
2005-03-01,CP,1,-0.0120810147,-0.0227297058,0.0009608593,2.4808075366,True,True
2005-04-01,CP,0,0.0530424543,0.0087617243,0.0158074085,-1.0331147308,True,True
2005-05-01,CP,0,0.0436034025,-0.0157320814,0.0046430390,0.7486153310,True,True
2005-06-01,CP,0,-0.0123428006,-0.0073645271,-0.0059695531,-0.0484873477,True,True
2005-07-01,CP,0,0.0249059921,-0.0041349105,0.0004538214,0.2278759187,True,True
2005-08-01,CP,0,-0.0210721643,0.0048452673,-0.0025013318,-0.4853491485,True,True
2005-09-01,CP,0,0.0060935199,-0.0212607073,0.0037436036,1.1031898869,True,True
2005-10-01,CP,0,0.0108733215,-0.0182723657,-0.0009029616,2.0942102771,True,True
2005-11-01,CP,-1,-0.0099728981,-0.0268120700,-0.0036955341,0.9109150092,True,True
2005-12-01,CP,-1,-0.0290856688,-0.0320170546,-0.0176611503,1.7212920905,True,True
2006-01-01,CP,-1,-0.0260897840,0.0101629331,-0.0140509594,-0.4008158714,True,True
2006-02-01,CP,-1,0.0293589403,-0.0469105748,0.0091974116,0.5567085414,True,True
2006-03-01,CP,-1,-0.0322700007,-0.0019032585,0.0044895731,-0.0224151752,True,True
2006-04-01,CP,0,-0.0385728559,0.0188531000,-0.0021028358,-0.5007064748,True,True
2006-05-01,CP,0,0.0104107858,-0.0181642755,0.0249559256,1.6059461020,True,True
2006-06-01,CP,0,0.0175161304,-0.0128963413,-0.0024300015,0.6446909885,True,True
2006-07-01,CP,0,-0.0297635551,0.0108691789,-0.0084976392,-2.0445499899,True,True
2006-08-01,CP,0,0.0563216001,-0.0174065715,0.0151853006,-0.0973585770,True,True
2006-09-01,CP,1,0.0500943193,-0.0034507477,0.0250956607,1.2689702147,True,True
2006-10-01,CP,1,0.0753306583,0.0027190334,0.0287501510,-1.7436516687,True,True
2006-11-01,CP,1,0.0683014031,-0.0080954881,0.0355055187,1.4043078415,True,True
2006-12-01,CP,1,0.0761223866,-0.0040036645,0.0282739828,1.3537370655,True,True
2007-01-01,CP,1,0.1249172208,0.0012806501,0.0395867057,-0.2579713902,True,True
2007-02-01,CP,0,0.0293269519,-0.0315081997,0.0057416615,0.9597258456,True,True
2007-03-01,CP,0,0.0046763222,-0.0228078256,-0.0027976148,1.3038445993,True,True
