region,comparison,delta_OOF_R2,delta_OOF_RMSE,delta_OOF_MAE
CP,M1_minus_M0,0.0843474085,-0.0650170220,-0.0539772723
CP,M2_minus_M1,0.4235410500,-0.3900305722,-0.3241559003
CP,M3_minus_M1,0.4772452146,-0.4513188813,-0.3767469448
CP,M3_minus_M2,0.0537041645,-0.0612883091,-0.0525910445
EP,M1_minus_M0,0.0715869353,-0.1865550141,-0.0779954794
EP,M2_minus_M1,-0.0601893850,0.1590266766,0.0173134507
EP,M3_minus_M1,0.0318296853,-0.0965123250,-0.1079023348
EP,M3_minus_M2,0.0920190703,-0.2555390016,-0.1252157855
WP,M1_minus_M0,0.0230229590,-0.0199708053,-0.0154137913
WP,M2_minus_M1,0.6043696857,-0.6462822637,-0.5251644318
WP,M3_minus_M1,0.6167335253,-0.6634932920,-0.5477364699
WP,M3_minus_M2,0.0123638396,-0.0172110284,-0.0225720381
