region,model_name,n_oof_months,OOF_R2,OOF_RMSE,OOF_MAE,OOF_Pearson_r,OOF_bias,fraction_finite_oof_predictions
CP,M0,248,0.0516211367,1.4288013451,1.1479114393,0.2335261927,0.0079824523,1.0000000000
CP,M1,248,0.1359685452,1.3637843231,1.0939341671,0.3705523116,0.0069391468,1.0000000000
CP,M2,248,0.5595095952,0.9737537509,0.7697782667,0.7481343400,-0.0069456842,1.0000000000
CP,M3,248,0.6132137597,0.9124654418,0.7171872223,0.7833896423,-0.0096892574,1.0000000000
EP,M0,248,0.7693347973,1.1003060874,0.8151507037,0.8776060074,0.0228377437,1.0000000000
EP,M1,248,0.8409217326,0.9137510732,0.7371552243,0.9170201621,-0.0012235213,1.0000000000
EP,M2,248,0.7807323476,1.0727777499,0.7544686750,0.8842686422,0.0262440086,1.0000000000
EP,M3,248,0.8727514179,0.8172387483,0.6292528895,0.9342117863,-0.0006049320,1.0000000000
WP,M0,248,-0.0284637312,1.7741986608,1.4152350829,-0.0751097161,0.0093172070,1.0000000000
WP,M1,248,-0.0054407722,1.7542278556,1.3998212916,0.0995545961,0.0108341409,1.0000000000
WP,M2,248,0.5989289134,1.1079455919,0.8746568598,0.7739776872,-0.0062495814,1.0000000000
WP,M3,248,0.6112927531,1.0907345635,0.8520848216,0.7819789992,-0.0092314533,1.0000000000
