region,comparison,deterministic_delta_OOF_R2,delta_OOF_R2_ci_low_95,delta_OOF_R2_ci_high_95,probability_delta_OOF_R2_gt_0,deterministic_delta_OOF_RMSE,delta_OOF_RMSE_ci_low_95,delta_OOF_RMSE_ci_high_95,probability_delta_OOF_RMSE_lt_0,deterministic_delta_OOF_MAE,delta_OOF_MAE_ci_low_95,delta_OOF_MAE_ci_high_95,interpretation_role
CP,M1_minus_M0,0.0843474085,0.0337639746,0.1660220276,0.9960000000,-0.0650170220,-0.1331395720,-0.0234344599,0.9960000000,-0.0539772723,-0.1204469016,-0.0086545729,baseline_comparator_record
CP,M2_minus_M1,0.4235410500,0.2771007357,0.5232026826,1.0000000000,-0.3900305722,-0.4892063616,-0.2392508277,1.0000000000,-0.3241559003,-0.4063477564,-0.2152246044,record_only_substitution_difference
CP,M3_minus_M1,0.4772452146,0.3548375902,0.5655386699,1.0000000000,-0.4513188813,-0.5500564432,-0.3144628775,1.0000000000,-0.3767469448,-0.4539015077,-0.2676831741,main_increment_test
CP,M3_minus_M2,0.0537041645,0.0104035158,0.1120942664,0.9895000000,-0.0612883091,-0.1269132606,-0.0112884255,0.9895000000,-0.0525910445,-0.1066528550,-0.0060925432,auxiliary_joint_vs_substitution_record
EP,M1_minus_M0,0.0715869353,0.0273167062,0.1181509221,1.0000000000,-0.1865550141,-0.3181927204,-0.0643612396,1.0000000000,-0.0779954794,-0.1642942240,-0.0135616215,baseline_comparator_record
EP,M2_minus_M1,-0.0601893850,-0.1172920431,-0.0059602590,0.0160000000,0.1590266766,0.0151634706,0.3173872931,0.0160000000,0.0173134507,-0.0570861223,0.1262335448,record_only_substitution_difference
EP,M3_minus_M1,0.0318296853,0.0124000304,0.0505262518,1.0000000000,-0.0965123250,-0.1365767148,-0.0398061912,1.0000000000,-0.1079023348,-0.1434858555,-0.0505831952,main_increment_test
EP,M3_minus_M2,0.0920190703,0.0416423593,0.1441397171,1.0000000000,-0.2555390016,-0.4088851304,-0.1076973511,1.0000000000,-0.1252157855,-0.2268358722,-0.0423902906,auxiliary_joint_vs_substitution_record
WP,M1_minus_M0,0.0230229590,-0.0168863583,0.0663590948,0.8860000000,-0.0199708053,-0.0563737165,0.0142877368,0.8860000000,-0.0154137913,-0.0563871134,0.0194477429,baseline_comparator_record
WP,M2_minus_M1,0.6043696857,0.4897701131,0.7078898010,1.0000000000,-0.6462822637,-0.8115602614,-0.4616667491,1.0000000000,-0.5251644318,-0.6627290856,-0.3828364112,record_only_substitution_difference
WP,M3_minus_M1,0.6167335253,0.5074497750,0.7212651102,1.0000000000,-0.6634932920,-0.8308784206,-0.4826304517,1.0000000000,-0.5477364699,-0.6845156081,-0.4126320827,main_increment_test
WP,M3_minus_M2,0.0123638396,-0.0050278274,0.0336608628,0.9340000000,-0.0172110284,-0.0438313691,0.0071003596,0.9340000000,-0.0225720381,-0.0454929560,-0.0031312681,auxiliary_joint_vs_substitution_record
