region,event_id,phase,n_test_months,n_training_months,RMSE_M1,RMSE_M3,delta_RMSE_M3_minus_M1,MAE_M1,MAE_M3,delta_MAE_M3_minus_M1,Pearson_r_M1,Pearson_r_M3,M3_better_RMSE,M3_better_MAE,finite_models,rank_deficient
CP,ElNino_01,El Nino,8,234,2.113135102493659,1.0775933748640065,-1.0355417276296526,1.8082435125658973,0.7894537325482675,-1.01878978001763,-0.3039023145861588,0.916231646089045,True,True,True,False
CP,ElNino_02,El Nino,6,230,1.2757914372397021,1.0001830981906805,-0.2756083390490216,1.1476572424652767,0.9497951439165399,-0.19786209854873682,-0.37182768791867193,0.7019734943489697,True,True,True,False
CP,ElNino_03,El Nino,5,231,1.1367636983074243,0.9942523696857524,-0.14251132862167193,0.9729116673992957,0.8547818238354798,-0.11812984356381584,0.5195523674147573,0.7480019595662523,True,True,True,False
CP,ElNino_04,El Nino,8,228,1.2963809193191627,1.1007859050706965,-0.19559501424846615,1.046852578777446,0.863539994172552,-0.18331258460489408,0.6005786956470206,0.830001433987334,True,True,True,False
CP,ElNino_05,El Nino,3,233,0.9394280696443837,0.9422534005358398,0.0028253308914560904,0.7688479675938679,0.9286889089846319,0.159840941390764,0.922467666831613,0.7621356893091367,False,False,True,False
CP,ElNino_06,El Nino,13,223,1.7373897362321893,1.259669970552913,-0.4777197656792762,1.222635220796642,1.0477716255873168,-0.17486359520932515,-0.06921040572476997,0.6012372200460787,True,True,True,False
CP,ElNino_07,El Nino,8,228,1.8634689075280906,0.7353715974016253,-1.1280973101264653,1.6894262324800824,0.614727183037574,-1.0746990494425084,-0.053364167221460666,0.9484850390100511,True,True,True,False
CP,ElNino_08,El Nino,3,233,0.5770193906935451,0.22032317119325154,-0.3566962195002936,0.570592139688741,0.2187587611234922,-0.35183337856524877,0.7774661766565968,0.9998705206870915,True,True,True,False
CP,LaNina_01,La Nina,1,235,1.3029741337967327,0.8891620648370759,-0.4138120689596567,1.3029741337967327,0.8891620648370759,-0.4138120689596567,,,True,True,True,False
CP,LaNina_02,La Nina,5,231,1.1550423330644235,1.045354059923116,-0.10968827314130758,0.9301100831261259,0.7861974870961672,-0.14391259602995865,-0.43993077351539145,0.6546392094668319,True,True,True,False
